S_DT,S_HJ,SN_HJ,S_CARE,S_RECOVER,SN_RECOVER,S_DEATH,SY_TOTAL,SY_KJ,SY_KH,T_DT,T_HJ,N_HJ,TY_CARE,RECOVER,DEATH,TY_TOTAL,TY_KJ,TY_KH,JGK_OVERSEAS_GS,JGK_OVERSEAS_GH,JGK_CONT_GS,JGK_CONT_GH,CHECKING,DAY_DEATH,ALL_DAY_DEATH
2020.03.05.10,105,0,79,26,0,0,24708,4414,20294,2020.03.05.00,5766,0,5643,88,35,140775,21810,118965,0,0,0,0,0,,
2020.03.04.10,99,0,73,26,0,0,21522,4308,17214,2020.03.04.00,5328,0,5255,41,32,131379,28414,102965,0,0,0,0,0,,
2020.03.03.10,98,0,82,16,0,0,18791,5491,13300,2020.03.03.00,4812,0,4750,34,28,121039,35555,85484,0,0,0,0,0,,
2020.03.02.10,92,0,92,0,0,0,14189,4104,10085,2020.03.02.10,4212,0,4159,31,22,105379,33799,71580,0,0,0,0,0,,
2020.03.01.10,86,0,86,0,0,0,13194,3932,9262,2020.03.01.16,3736,0,3688,30,18,95185,33360,61825,0,0,0,0,0,,
2020.02.29.10,77,0,77,0,0,0,12265,3672,8593,2020.02.29.16,3150,0,3105,28,17,90905,35182,55723,0,0,0,0,0,,
2020.02.28.10,65,0,65,0,0,0,10563,2810,7753,2020.02.28.16,2337,0,2297,27,13,78830,30237,48593,0,0,0,0,0,,
20.02.27.10,59,0,59,0,0,0,8238,2279,5959,20.02.27.16,1766,0,1727,26,13,64886,25568,39318,0,0,0,0,0,,
20.02.26.16,49,0,49,0,0,0,8238,2279,5959,20.02.26.16,1261,0,1225,24,12,52292,20716,31576,0,0,0,0,0,,
20.02.25.18,44,0,44,0,0,0,6878,1463,5415,20.02.25.18,1146,0,1113,22,11,44981,16734,28247,0,0,0,0,0,,
20.02.24.18,31,0,31,0,0,0,5856,1112,4744,20.02.24.18,833,0,804,22,7,31923,11631,20292,0,0,0,0,0,,
20.02.23.16,25,0,25,0,0,0,5197,949,4248,20.02.23.16,602,0,579,18,5,25577,8057,17520,0,0,0,0,0,,
20.02.22.18,24,0,24,0,0,0,4656,767,3889,20.02.22.18,433,0,413,18,2,21153,6037,15116,0,0,0,0,0,,
20.02.21.16,18,0,18,0,0,0,1125,54,1071,20.02.21.16,204,0,186,17,1,16196,3180,13016,0,0,0,0,0,,
20.02.20.18,15,0,15,0,0,0,1125,54,1071,20.02.20.18,104,0,87,16,1,13098,1860,11238,0,0,0,0,0,,
20.02.19.18,13,0,13,0,0,0,1071,71,1000,20.02.19.18,82,0,66,16,0,12079,1633,10446,0,0,0,0,,,
20.02.18.18,12,0,12,0,0,0,1000,53,947,20.02.18.18,31,0,19,12,0,9741,818,8923,0,0,0,0,,,
20.02.17.18,12,0,12,0,0,0,947,71,876,20.02.17.18,30,0,20,10,0,8688,708,7980,0,0,0,0,,,
20.02.16.18,11,0,11,0,0,0,876,13,863,20.02.16.18,29,0,20,9,0,8132,485,7647,0,0,0,0,0,,
20.02.15.18,10,0,10,0,0,0,864,24,840,20.02.15.18,28,0,19,9,0,7491,638,6853,0,0,0,0,,,
20.02.14.18,10,0,10,0,0,0,840,38,802,20.02.14.18,28,0,21,7,0,7214,535,6679,0,0,0,0,,,
20.02.13.18,10,0,10,0,0,0,802,61,741,20.02.13.18,28,0,21,7,0,6483,562,5921,0,0,0,0,,,
20.02.12.18,10,0,10,0,0,0,741,77,664,20.02.12.18,28,0,21,7,0,5596,785,4811,0,0,0,0,,,
20.02.11.18,10,0,10,0,0,0,664,97,567,20.02.11.18,28,0,24,4,0,3601,865,2736,0,0,0,0,,,
20.02.10.18,10,0,10,0,0,0,567,108,459,20.02.10.18,27,0,24,3,0,3083,531,2552,0,0,0,0,,,
20.02.09.18,10,0,10,0,0,0,459,45,414,20.02.09.18,27,0,24,3,0,2571,888,1683,0,0,0,0,,,
20.02.08.18,10,0,10,0,0,0,414,92,322,20.02.08.18,24,0,22,2,0,1677,620,1057,0,0,0,0,,,
20.02.07.18,10,0,10,0,0,0,322,115,207,20.02.07.18,24,0,22,2,0,1106,264,842,0,0,0,0,,,
20.02.06.09,11,0,11,0,0,0,192,28,164,20.02.06.09,24,0,23,1,0,591,169,693,0,0,0,0,0,,
20.02.05.15,8,0,8,0,0,0,0,16,148,20.02.05.15,18,0,18,0,0,200,174,522,0,0,0,0,0,,
